Strategy,Pair,Config,Params,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_avg_hold_days,OOS_profit_factor,OOS_long_win_rate,OOS_short_win_rate,OOS_max_consec_losses,OOS_final_equity
Z-Score Reversion,NZDUSD=X,10d R2% SL1% TP2% 10x,"lookback=20, z_entry=2.5",33.18,20.84,1.03,-78.59,5,60.0,28.63,-19.84,3.8,1.45,100.0,0.0,2,13318.45
RSI Reversal,GBPJPY=X,7d R2% SL0.7% TP1.5% 10x,"rsi_period=14, oversold=30, overbought=70",28.33,17.91,1.317,-84.71,6,50.0,29.45,-14.58,6.0,1.36,0.0,50.0,3,12832.51
Triple EMA,EURJPY=X,7d R1% SL0.7% TP1.5% 10x,"fast=3, medium=8, slow=21",25.02,15.89,2.691,-87.28,40,32.5,15.39,-8.76,3.8,0.8,38.5,21.4,11,12501.87
Consecutive Candles,USDJPY=X,10d R0.5% SL1% TP2% 10x,n_candles=5,24.06,15.31,0.748,-43.28,13,46.2,10.06,-4.99,3.8,1.65,44.4,50.0,4,12406.48
Triple EMA,GBPUSD=X,10d R2% SL1% TP2% 10x,"fast=8, medium=21, slow=55",16.36,10.52,1.875,-79.55,14,42.9,25.04,-12.96,6.4,1.13,50.0,33.3,3,11635.63
Inside Bar Breakout,AUDUSD=X,5d R1% SL0.5% TP1% 5x,,10.23,6.65,2.126,-73.11,18,38.9,10.03,-5.02,1.7,1.16,37.5,40.0,4,11023.25
Inside Bar Breakout,EURGBP=X,7d R1% SL0.7% TP1.5% 10x,,10.08,6.55,1.273,-66.97,10,60.0,8.33,-9.03,6.1,1.25,33.3,100.0,2,11007.92
Momentum Breakout,USDJPY=X,5d R2% SL0.5% TP1% 10x,"lookback=10, vol_mult=1.0",6.76,4.42,3.119,-98.31,26,30.8,37.17,-20.05,1.6,0.78,22.2,50.0,7,10676.07
RSI Reversal,GBPUSD=X,7d R2% SL0.7% TP1.5% 10x,"rsi_period=5, oversold=20, overbought=80",6.12,4.0,2.416,-91.45,18,50.0,21.74,-16.49,4.7,1.03,50.0,50.0,5,10611.79
Consecutive Candles,AUDUSD=X,10d R2% SL1% TP2% 10x,n_candles=5,3.67,2.41,1.506,-82.35,13,46.2,30.89,-19.84,5.4,1.03,100.0,12.5,3,10367.46
Inside Bar Breakout,GBPUSD=X,5d R1% SL0.5% TP1% 5x,,2.0,1.31,2.057,-73.68,18,33.3,10.01,-4.45,2.4,1.04,33.3,33.3,5,10199.74
Momentum Breakout,EURUSD=X,5d R1% SL0.5% TP1% 5x,"lookback=10, vol_mult=1.0",1.06,0.7,2.487,-75.8,27,40.7,8.01,-5.02,2.0,1.02,50.0,22.2,6,10106.05
Triple EMA,USDJPY=X,10d R2% SL1% TP2% 10x,"fast=8, medium=21, slow=55",-3.23,-2.14,1.804,-92.1,13,23.1,35.03,-18.26,3.2,0.49,16.7,28.6,6,9677.21
Keltner Breakout,EURGBP=X,10d R0.5% SL1% TP2% 10x,"ema_period=20, atr_period=14, atr_mult=2.0",-3.38,-2.25,0.548,-40.45,8,37.5,5.69,-3.88,7.1,0.84,50.0,0.0,3,9661.59
RSI Reversal,USDCHF=X,10d R2% SL1.5% TP3% 10x,"rsi_period=7, oversold=25, overbought=75",-7.76,-5.2,1.608,-85.87,15,53.3,17.76,-17.53,7.7,0.92,50.0,57.1,4,9223.97
Triple EMA,USDCHF=X,5d R1% SL0.5% TP1% 5x,"fast=3, medium=8, slow=21",-8.03,-5.38,3.248,-79.11,41,39.0,7.49,-4.74,2.3,0.95,18.8,52.0,5,9196.64
SMA Crossover,AUDUSD=X,5d R2% SL0.5% TP1% 10x,"fast=20, slow=75",-10.4,-6.99,1.618,-89.78,8,37.5,40.1,-20.01,1.9,0.88,50.0,25.0,3,8960.49
Keltner Breakout,USDCHF=X,10d R2% SL1.5% TP3% 10x,"ema_period=20, atr_period=14, atr_mult=2.0",-11.8,-7.96,1.028,-73.89,6,50.0,15.71,-15.97,8.0,0.79,0.0,50.0,1,8819.96
SMA Crossover,EURUSD=X,5d R2% SL0.5% TP1% 10x,"fast=5, slow=20",-12.28,-8.29,2.98,-92.69,23,43.5,29.57,-18.38,2.5,0.96,45.5,41.7,3,8771.72
MACD Crossover,USDCHF=X,7d R2% SL0.7% TP1.5% 10x,"fast=8, slow=17, signal_period=9",-12.75,-8.61,3.398,-97.2,44,40.9,26.41,-19.14,3.8,0.63,36.4,45.5,4,8725.39
MACD Crossover,USDCAD=X,5d R1% SL0.5% TP1% 5x,"fast=16, slow=30, signal_period=9",-13.68,-9.26,2.508,-79.41,30,40.0,6.1,-4.57,3.3,0.8,40.0,40.0,4,8632.14
SMA Crossover,EURGBP=X,5d R1% SL0.5% TP1% 5x,"fast=20, slow=75",-16.45,-11.19,1.233,-72.9,9,33.3,2.31,-3.99,3.4,0.26,25.0,40.0,4,8354.99
RSI Reversal,EURJPY=X,10d R2% SL1.5% TP3% 10x,"rsi_period=14, oversold=25, overbought=75",-17.0,-11.58,0.53,-69.7,3,33.3,13.75,-14.39,10.0,0.37,0.0,33.3,2,8299.79
