Strategy,Params,Pass,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_profit_factor,OOS_final_equity,OOS_buy_hold_return_pct,IS_total_return_pct,IS_annual_return_pct,IS_sharpe_ratio,IS_max_drawdown_pct,IS_total_trades,IS_win_rate_pct,IS_avg_win_pct,IS_avg_loss_pct,IS_profit_factor,IS_final_equity,IS_buy_hold_return_pct
SMA Crossover,"fast_period=5, slow_period=30",False,11.23,7.3,0.383,-26.01,9,22.2,18.19,-4.31,1.07,11123.0,29.65,137.52,28.2,0.834,-37.59,18,33.3,25.15,-5.48,1.84,23751.66,64.12
RSI Mean Reversion,"rsi_period=7, oversold=25, overbought=65, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10000.0,29.65,22.44,5.99,0.853,-7.47,2,100.0,10.77,0.0,inf,12244.19,64.12
Bollinger Band Reversion,"bb_period=20, bb_std=2.0, rsi_period=14, rsi_threshold=30",False,-13.99,-9.49,-0.299,-38.05,1,0.0,0.0,-14.13,0.0,8600.6,29.65,87.35,19.75,0.875,-29.6,9,88.9,10.03,-11.41,8.41,18734.99,64.12
MACD + RSI,"macd_fast=8, macd_slow=21, macd_signal=7, rsi_period=14, rsi_upper=70, rsi_lower=25",False,-4.21,-2.8,0.088,-25.46,23,26.1,13.27,-4.26,0.94,9579.16,29.65,380.18,56.91,1.295,-34.51,34,38.2,22.19,-4.93,2.44,48018.22,64.12
EMA Pullback,"fast_ema=15, slow_ema=100, atr_period=10, pullback_atr_mult=0.5, stop_atr_mult=2.0",False,1.6,1.05,0.206,-28.39,4,25.0,27.14,-9.6,0.74,10159.66,29.65,40.55,10.27,0.447,-56.4,6,16.7,47.56,-9.77,0.8,14054.51,64.12
