Ticker,Strategy,Risk_Config,Params,Beats_BH,OOS_BH_pct,Score,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_profit_factor,OOS_final_equity,OOS_buy_hold_return_pct
AAPL,Crash Avoider,Trail 20%,"trend_sma=60, confirm_days=7, rsi_exit=45, rsi_reentry=60",False,36.43189870667756,0.024,0.36,0.24,0.078,-15.85,2,0.0,0.0,-7.25,0.0,10036.28,36.43
AAPL,Dip Buyer,No stops,"fast_ema=5, slow_ema=75, dip_pct=2, trend_lookback=5",False,36.43189870667756,0.529,8.07,5.27,0.426,-21.76,5,20.0,14.68,-4.99,0.63,10807.33,36.43
AAPL,Dip Buyer,Trail 10%,"fast_ema=5, slow_ema=40, dip_pct=2, trend_lookback=5",False,36.43189870667756,0.906,12.88,8.35,0.58,-22.47,6,33.3,11.72,-5.88,0.87,11288.03,36.43
AAPL,Dip Buyer,Trail 15%,"fast_ema=5, slow_ema=40, dip_pct=2, trend_lookback=5",False,36.43189870667756,0.713,11.02,7.16,0.517,-23.46,6,33.3,11.72,-6.2,0.81,11102.01,36.43
AAPL,Dip Buyer,Trail 20%,"fast_ema=5, slow_ema=75, dip_pct=2, trend_lookback=5",False,36.43189870667756,0.529,8.07,5.27,0.426,-21.76,5,20.0,14.68,-4.99,0.63,10807.33,36.43
AAPL,Trend Rider,No stops,"ema_period=20, atr_period=10, atr_mult=3.0, reentry_mult=1.0",False,36.43189870667756,0.806,16.58,10.68,0.514,-31.13,2,50.0,31.86,-26.72,0.89,11658.05,36.43
AAPL,Trend Rider,Trail 10%,"ema_period=20, atr_period=10, atr_mult=2.5, reentry_mult=1.0",False,36.43189870667756,2.331,30.14,19.04,0.85,-23.92,6,33.3,13.08,-4.15,1.41,13014.18,36.43
AAPL,Trend Rider,Trail 15%,"ema_period=20, atr_period=10, atr_mult=3.0, reentry_mult=0",False,36.43189870667756,0.117,3.44,2.26,0.215,-35.76,4,25.0,20.03,-10.49,0.51,10343.63,36.43
AAPL,Trend Rider,Trail 20%,"ema_period=20, atr_period=10, atr_mult=3.0, reentry_mult=1.0",False,36.43189870667756,3.599,35.84,22.47,0.952,-19.44,2,50.0,31.86,-14.04,1.95,13584.04,36.43
AAPL,Dual Regime,No stops,"fast_sma=40, slow_sma=200, reentry_buffer=1.0",False,36.43189870667756,5.292,31.57,19.91,1.3,-13.72,0,0.0,0.0,0.0,0,13157.37,36.43
